id,text,sentiment,text_original,tokens
28045,الزوبير داير التقديم power point اللي كنا كانقراو فحصه التكنولوجيا فتاسعه مايعرفوها ولاد التسعينات,neutre,الزوبير داير التقديم power point اللي كنا كانقراو فحصه التكنولوجيا فتاسعه مايعرفوها ولاد التسعينات,"['الزوبير', 'داير', 'التقديم', 'power', 'point', 'اللي', 'كنا', 'كانقراو', 'فحصه', 'التكنولوجيا', 'فتاسعه', 'مايعرفوها', 'ولاد', 'التسعينات']"
28046,amjnan video,positif,amjnan video,"['amjnan', 'video']"
28047,الزوبير زايد,neutre,الزوبير زايد,"['الزوبير', 'زايد']"
28048,تفكرت الرابط العجيب كيبدا سبيستون,neutre,تفكرت الرابط العجيب كيبدا سبيستون,"['تفكرت', 'الرابط', 'العجيب', 'كيبدا', 'سبيستون']"
28049,ناري قتلوني بالضحك,positif,ناري قتلوني بالضحك,"['ناري', 'قتلوني', 'بالضحك']"
28050,dihlwad,neutre,dihlwad,['dihlwad']
28051,naaaadi khoooti bon courage,positif,naaaadi khoooti bon courage,"['naaaadi', 'khoooti', 'bon', 'courage']"
28052,endna nafss birthday hilal,neutre,endna nafss birthday hilal,"['endna', 'nafss', 'birthday', 'hilal']"
28053,1010 yassin mymknch,positif,1010 yassin mymknch,"['1010', 'yassin', 'mymknch']"
28054,makamaltch lvideo walakin ollah dhekni matwe9e3tch ndhek 9ad hka,positif,makamaltch lvideo walakin ollah dhekni matwe9e3tch ndhek 9ad hka,"['makamaltch', 'lvideo', 'walakin', 'ollah', 'dhekni', 'matwe9e3tch', 'ndhek', '9ad', 'hka']"
28055,احسن concept,positif,احسن concept,"['احسن', 'concept']"
28056,naaarrii ch7all dhaakkttt bdmoo3,positif,naaarrii ch7all dhaakkttt bdmoo3,"['naaarrii', 'ch7all', 'dhaakkttt', 'bdmoo3']"
28057,دب عجبوني فردوس سدراتي,positif,دب عجبوني فردوس سدراتي,"['دب', 'عجبوني', 'فردوس', 'سدراتي']"
28058,الزوبير قتلنييييي بالضحك,positif,الزوبير قتلنييييي بالضحك,"['الزوبير', 'قتلنييييي', 'بالضحك']"
28059,mambah 7alf ta yzblha,négatif,mambah 7alf ta yzblha,"['mambah', '7alf', 'ta', 'yzblha']"
28060,loved zoubir presentation it was hilarious,positif,loved zoubir presentation it was hilarious,"['loved', 'zoubir', 'presentation', 'it', 'was', 'hilarious']"
28061,كنتمني ديرو لينا بزااف هاذ الفيديوهات,positif,كنتمني ديرو لينا بزااف هاذ الفيديوهات,"['كنتمني', 'ديرو', 'لينا', 'بزااف', 'هاذ', 'الفيديوهات']"
28062,mo7tawa zewin top,positif,mo7tawa zewin top,"['mo7tawa', 'zewin', 'top']"
28063,sedratiiiiiiii endna nefs birthdaaaay 1608,neutre,sedratiiiiiiii endna nefs birthdaaaay 1608,"['sedratiiiiiiii', 'endna', 'nefs', 'birthdaaaay', '1608']"
28064,braw el malki,neutre,braw el malki,"['braw', 'el', 'malki']"
28065,oi3r bzaf,positif,oi3r bzaf,"['oi3r', 'bzaf']"
28066,1518 قولي ولله,neutre,1518 قولي ولله,"['1518', 'قولي', 'ولله']"
28067,merci sourires,positif,merci sourires,"['merci', 'sourires']"
28068,bro bqa sakt the whole episode and then 940,neutre,bro bqa sakt the whole episode and then 940,"['bro', 'bqa', 'sakt', 'the', 'whole', 'episode', 'and', 'then', '940']"
28069,تبارك الله عليكم عجبني هادشي لوليتو كديرو,positif,تبارك الله عليكم عجبني هادشي لوليتو كديرو,"['تبارك', 'الله', 'عليكم', 'عجبني', 'هادشي', 'لوليتو', 'كديرو']"
28070,ملفايا جاتني فحال الاطرش فالزفه ومع دوك نظاظر فكراتني راسي تنكون دايره مكياج بغيت نخسر المنظر تنبقي نحطهم نبغي نبركك ونعاود نحيدهم هههههه الله معانا العميين,positif,ملفايا جاتني فحال الاطرش فالزفه ومع دوك نظاظر فكراتني راسي تنكون دايره مكياج بغيت نخسر المنظر تنبقي نحطهم نبغي نبركك ونعاود نحيدهم هههههه الله معانا العميين,"['ملفايا', 'جاتني', 'فحال', 'الاطرش', 'فالزفه', 'ومع', 'دوك', 'نظاظر', 'فكراتني', 'راسي', 'تنكون', 'دايره', 'مكياج', 'بغيت', 'نخسر', 'المنظر', 'تنبقي', 'نحطهم', 'نبغي', 'نبركك', 'ونعاود', 'نحيدهم', 'هههههه', 'الله', 'معانا', 'العميين']"
28071,rjou3 lah hhhhhhhhhhhhhh,positif,rjou3 lah hhhhhhhhhhhhhh,"['rjou3', 'lah', 'hhhhhhhhhhhhhh']"
28072,zoubir wa3errrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,positif,zoubir wa3errrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,"['zoubir', 'wa3errrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr']"
28073,برنامج ناضي هكدا بغينا شباب مغربي بافكار جديده,positif,برنامج ناضي هكدا بغينا شباب مغربي بافكار جديده,"['برنامج', 'ناضي', 'هكدا', 'بغينا', 'شباب', 'مغربي', 'بافكار', 'جديده']"
28074,فوجتوا عليا حبيت الفكره ضحكتونا الاخوان شكرا,positif,فوجتوا عليا حبيت الفكره ضحكتونا الاخوان شكرا,"['فوجتوا', 'عليا', 'حبيت', 'الفكره', 'ضحكتونا', 'الاخوان', 'شكرا']"
28075,tjam3o lhobal hahah,positif,tjam3o lhobal hahah,"['tjam3o', 'lhobal', 'hahah']"
28076,اول مره كنتفرج حاجه ممتعه المغرب فاليوتوب bravo,positif,اول مره كنتفرج حاجه ممتعه المغرب فاليوتوب bravo,"['اول', 'مره', 'كنتفرج', 'حاجه', 'ممتعه', 'المغرب', 'فاليوتوب', 'bravo']"
28077,naaaadii nadii hhh,positif,naaaadii nadii hhh,"['naaaadii', 'nadii', 'hhh']"
28078,mamba hrbniiiiii when he described milfayas spinal cord,positif,mamba hrbniiiiii when he described milfayas spinal cord,"['mamba', 'hrbniiiiii', 'when', 'he', 'described', 'milfayas', 'spinal', 'cord']"
28079,3jbni concept ms howa fl2asl minspir 3nd squeezie mafiha wlo dkrt 7it magalohax,négatif,3jbni concept ms howa fl2asl minspir 3nd squeezie mafiha wlo dkrt 7it magalohax,"['3jbni', 'concept', 'ms', 'howa', 'fl2asl', 'minspir', '3nd', 'squeezie', 'mafiha', 'wlo', 'dkrt', '7it', 'magalohax']"
28080,1152 kbiiir,neutre,1152 kbiiir,"['1152', 'kbiiir']"
28081,كيقول فردوس بحالا كيعيط عليا,neutre,كيقول فردوس بحالا كيعيط عليا,"['كيقول', 'فردوس', 'بحالا', 'كيعيط', 'عليا']"
28082,love it 3ejbtni prsentation ta3 milfaya simoo bzaff,positif,love it 3ejbtni prsentation ta3 milfaya simoo bzaff,"['love', 'it', '3ejbtni', 'prsentation', 'ta3', 'milfaya', 'simoo', 'bzaff']"
28083,1904 btata btakaaa,neutre,1904 btata btakaaa,"['1904', 'btata', 'btakaaa']"
28084,زوبير علام,positif,زوبير علام,"['زوبير', 'علام']"
28085,wllh ta zoubiiir a7seen presentation,positif,wllh ta zoubiiir a7seen presentation,"['wllh', 'ta', 'zoubiiir', 'a7seen', 'presentation']"
28086,ahsen wahda zoubir,positif,ahsen wahda zoubir,"['ahsen', 'wahda', 'zoubir']"
28087,continuerai atteindras courranous aurions feront صافي تاكدت بلي ياسين ممتحن شخصيه كيلي مني,neutre,continuerai atteindras courranous aurions feront صافي تاكدت بلي ياسين ممتحن شخصيه كيلي مني,"['continuerai', 'atteindras', 'courranous', 'aurions', 'feront', 'صافي', 'تاكدت', 'بلي', 'ياسين', 'ممتحن', 'شخصيه', 'كيلي', 'مني']"
28088,kawtar bamo rida wahabi,neutre,kawtar bamo rida wahabi,"['kawtar', 'bamo', 'rida', 'wahabi']"
28089,kanbki bdehk 2048,positif,kanbki bdehk 2048,"['kanbki', 'bdehk', '2048']"
28090,lalalala wa3aaaaaaar bjaaaaaaaahd naaaaady,positif,lalalala wa3aaaaaaar bjaaaaaaaahd naaaaady,"['lalalala', 'wa3aaaaaaar', 'bjaaaaaaaahd', 'naaaaady']"
28091,bassou kawtar bamo reda,neutre,bassou kawtar bamo reda,"['bassou', 'kawtar', 'bamo', 'reda']"
28092,قتلني بضحك ياسين,positif,قتلني بضحك ياسين,"['قتلني', 'بضحك', 'ياسين']"
28093,بقي فيا زوبير,négatif,بقي فيا زوبير,"['بقي', 'فيا', 'زوبير']"
28094,الاشكال تافهين تتقولو انكم تحاربون التفاهه,négatif,الاشكال تافهين تتقولو انكم تحاربون التفاهه,"['الاشكال', 'تافهين', 'تتقولو', 'انكم', 'تحاربون', 'التفاهه']"
28095,واعرين كملين ضحكتوني فوجتوا عليا سيروا الله يربحكوم,positif,واعرين كملين ضحكتوني فوجتوا عليا سيروا الله يربحكوم,"['واعرين', 'كملين', 'ضحكتوني', 'فوجتوا', 'عليا', 'سيروا', 'الله', 'يربحكوم']"
28096,hed ygool dik bniita that its okey to wear glasses,neutre,hed ygool dik bniita that its okey to wear glasses,"['hed', 'ygool', 'dik', 'bniita', 'that', 'its', 'okey', 'to', 'wear', 'glasses']"
28097,اخيرا جاو االاباطير اليوتيوب اعتقوه,positif,اخيرا جاو االاباطير اليوتيوب اعتقوه,"['اخيرا', 'جاو', 'االاباطير', 'اليوتيوب', 'اعتقوه']"
28098,nari zoubir is the best,positif,nari zoubir is the best,"['nari', 'zoubir', 'is', 'the', 'best']"
28099,bravoooo,positif,bravoooo,['bravoooo']
28100,concept khari,négatif,concept khari,"['concept', 'khari']"
28101,كنعرف الزوبير وسيمو ولخرين معمري شفتهم,neutre,كنعرف الزوبير وسيمو ولخرين معمري شفتهم,"['كنعرف', 'الزوبير', 'وسيمو', 'ولخرين', 'معمري', 'شفتهم']"
28102,البنت دارت داكشي واعر,positif,البنت دارت داكشي واعر,"['البنت', 'دارت', 'داكشي', 'واعر']"
28103,الدراري واعرين براڨو,positif,الدراري واعرين براڨو,"['الدراري', 'واعرين', 'براڨو']"
28104,nadiiiiiii nadiii brojola so professional kmall baliiiz hhh,positif,nadiiiiiii nadiii brojola so professional kmall baliiiz hhh,"['nadiiiiiii', 'nadiii', 'brojola', 'so', 'professional', 'kmall', 'baliiiz', 'hhh']"
28105,ناحيه الحلقه حامضه متافقه معاك ناحيه محاربه التفاهه يوتوب فيهش الاستفاده شحال مره كنكونو باغين نتفرجو فشي حاجه نضحكو خاص يخدمو علي الكونسيبط,négatif,ناحيه الحلقه حامضه متافقه معاك ناحيه محاربه التفاهه يوتوب فيهش الاستفاده شحال مره كنكونو باغين نتفرجو فشي حاجه نضحكو خاص يخدمو علي الكونسيبط,"['ناحيه', 'الحلقه', 'حامضه', 'متافقه', 'معاك', 'ناحيه', 'محاربه', 'التفاهه', 'يوتوب', 'فيهش', 'الاستفاده', 'شحال', 'مره', 'كنكونو', 'باغين', 'نتفرجو', 'فشي', 'حاجه', 'نضحكو', 'خاص', 'يخدمو', 'علي', 'الكونسيبط']"
28106,trs drle adore,positif,trs drle adore,"['trs', 'drle', 'adore']"
28107,good concept,positif,good concept,"['good', 'concept']"
28108,السدراتي هارب علي الناس اللي معاه فالضومين سواءا التمتيل عالم اليوتوب,positif,السدراتي هارب علي الناس اللي معاه فالضومين سواءا التمتيل عالم اليوتوب,"['السدراتي', 'هارب', 'علي', 'الناس', 'اللي', 'معاه', 'فالضومين', 'سواءا', 'التمتيل', 'عالم', 'اليوتوب']"
28109,zoubir nadiii,positif,zoubir nadiii,"['zoubir', 'nadiii']"
28110,هادشي منقول فرنسا squeezy,négatif,هادشي منقول فرنسا squeezy,"['هادشي', 'منقول', 'فرنسا', 'squeezy']"
28111,yassine lwahid li9tlniii bdehk lmara jaya jib rashid rafik,positif,yassine lwahid li9tlniii bdehk lmara jaya jib rashid rafik,"['yassine', 'lwahid', 'li9tlniii', 'bdehk', 'lmara', 'jaya', 'jib', 'rashid', 'rafik']"
28112,الله ينعل مايحشم،concept مسروق داير عامين ففرنسا squeezue تجمعتو النقالا السراقا كوتر بامو ارتقو شويا,négatif,الله ينعل مايحشم،concept مسروق داير عامين ففرنسا squeezue تجمعتو النقالا السراقا كوتر بامو ارتقو شويا,"['الله', 'ينعل', 'مايحشم،concept', 'مسروق', 'داير', 'عامين', 'ففرنسا', 'squeezue', 'تجمعتو', 'النقالا', 'السراقا', 'كوتر', 'بامو', 'ارتقو', 'شويا']"
28113,مشاء الله عليكم,positif,مشاء الله عليكم,"['مشاء', 'الله', 'عليكم']"
28114,imta 2ep,neutre,imta 2ep,"['imta', '2ep']"
28115,حححححح كاتغلط فدارجه,négatif,حححححح كاتغلط فدارجه,"['حححححح', 'كاتغلط', 'فدارجه']"
28116,حاسه زوبير محاملش ياسين,négatif,حاسه زوبير محاملش ياسين,"['حاسه', 'زوبير', 'محاملش', 'ياسين']"
28117,loooooove it continue guys,positif,loooooove it continue guys,"['loooooove', 'it', 'continue', 'guys']"
28118,laaah elaamo7tawa wlina kanshofo youtub kmlooo raakom naadyin,positif,laaah elaamo7tawa wlina kanshofo youtub kmlooo raakom naadyin,"['laaah', 'elaamo7tawa', 'wlina', 'kanshofo', 'youtub', 'kmlooo', 'raakom', 'naadyin']"
28119,زلق وتخشي ضحكت خرج ليا اتاي ودني,positif,زلق وتخشي ضحكت خرج ليا اتاي ودني,"['زلق', 'وتخشي', 'ضحكت', 'خرج', 'ليا', 'اتاي', 'ودني']"
28120,a7san prsentation ta3 zoubir hhhhhhhhhhhh tfrblt bd7k vraiment concsept zwin,positif,a7san prsentation ta3 zoubir hhhhhhhhhhhh tfrblt bd7k vraiment concsept zwin,"['a7san', 'prsentation', 'ta3', 'zoubir', 'hhhhhhhhhhhh', 'tfrblt', 'bd7k', 'vraiment', 'concsept', 'zwin']"
28121,3amarni dert commentaire video maymkanch chal crative braaaaavo,positif,3amarni dert commentaire video maymkanch chal crative braaaaavo,"['3amarni', 'dert', 'commentaire', 'video', 'maymkanch', 'chal', 'crative', 'braaaaavo']"
28122,الذكاء ولي معنديش حطيتو الفيديو ومفهمت تا بريزونتاسيون ومضحكتش وغير ضيعت وقتي هه بوحدي,négatif,الذكاء ولي معنديش حطيتو الفيديو ومفهمت تا بريزونتاسيون ومضحكتش وغير ضيعت وقتي هه بوحدي,"['الذكاء', 'ولي', 'معنديش', 'حطيتو', 'الفيديو', 'ومفهمت', 'تا', 'بريزونتاسيون', 'ومضحكتش', 'وغير', 'ضيعت', 'وقتي', 'هه', 'بوحدي']"
28123,braavooo hbet,positif,braavooo hbet,"['braavooo', 'hbet']"
28124,3806 lma9oula chahira l2asatida,neutre,3806 lma9oula chahira l2asatida,"['3806', 'lma9oula', 'chahira', 'l2asatida']"
28125,ميمكنش شحال عجبوني الكونسيپتات اللي ولاو كاتديرو كوثر الاخرين هادشي ناضي زوين نقي طاقه ايجابيه فالفيديو واعره,positif,ميمكنش شحال عجبوني الكونسيپتات اللي ولاو كاتديرو كوثر الاخرين هادشي ناضي زوين نقي طاقه ايجابيه فالفيديو واعره,"['ميمكنش', 'شحال', 'عجبوني', 'الكونسيپتات', 'اللي', 'ولاو', 'كاتديرو', 'كوثر', 'الاخرين', 'هادشي', 'ناضي', 'زوين', 'نقي', 'طاقه', 'ايجابيه', 'فالفيديو', 'واعره']"
28126,wa nariii mamba ma3andoch conjugaisaon hhhhhhh,positif,wa nariii mamba ma3andoch conjugaisaon hhhhhhh,"['wa', 'nariii', 'mamba', 'ma3andoch', 'conjugaisaon', 'hhhhhhh']"
28127,هاذ الفيديو دوخلي راسي زوين دحكني,positif,هاذ الفيديو دوخلي راسي زوين دحكني,"['هاذ', 'الفيديو', 'دوخلي', 'راسي', 'زوين', 'دحكني']"
28128,fou rire assur merci,positif,fou rire assur merci,"['fou', 'rire', 'assur', 'merci']"
28129,nice idea,positif,nice idea,"['nice', 'idea']"
28130,sympa dannoncer dbut copiez concept reste copie montre quil ny dinnovation notre cot rappeurs yne9lo ok youtubeurs aussi fchkel hh,négatif,sympa dannoncer dbut copiez concept reste copie montre quil ny dinnovation notre cot rappeurs yne9lo ok youtubeurs aussi fchkel hh,"['sympa', 'dannoncer', 'dbut', 'copiez', 'concept', 'reste', 'copie', 'montre', 'quil', 'ny', 'dinnovation', 'notre', 'cot', 'rappeurs', 'yne9lo', 'ok', 'youtubeurs', 'aussi', 'fchkel', 'hh']"
28131,مايمكنش شحال ضحكت الزبير برافو دراري,positif,مايمكنش شحال ضحكت الزبير برافو دراري,"['مايمكنش', 'شحال', 'ضحكت', 'الزبير', 'برافو', 'دراري']"
28132,zobir khaso ydi 1010 howa dahkna ama lokhrin hamdin plus bhali hagrino ma3jabnuch saraha lhal wakha ydhak raciste hadchu ahsn thdr haja akhra dak mamba simba ri blach mgharba machu englais,négatif,zobir khaso ydi 1010 howa dahkna ama lokhrin hamdin plus bhali hagrino ma3jabnuch saraha lhal wakha ydhak raciste hadchu ahsn thdr haja akhra dak mamba simba ri blach mgharba machu englais,"['zobir', 'khaso', 'ydi', '1010', 'howa', 'dahkna', 'ama', 'lokhrin', 'hamdin', 'plus', 'bhali', 'hagrino', 'ma3jabnuch', 'saraha', 'lhal', 'wakha', 'ydhak', 'raciste', 'hadchu', 'ahsn', 'thdr', 'haja', 'akhra', 'dak', 'mamba', 'simba', 'ri', 'blach', 'mgharba', 'machu', 'englais']"
28133,maman 3ta 7l9a nadiya,neutre,maman 3ta 7l9a nadiya,"['maman', '3ta', '7l9a', 'nadiya']"
28134,3awdto mrat mamlitx,positif,3awdto mrat mamlitx,"['3awdto', 'mrat', 'mamlitx']"
28135,ختي قولي ليا الا كتعرفي وحدين اخرين سيمو كوثر بغيت نتفرج فيهم,neutre,ختي قولي ليا الا كتعرفي وحدين اخرين سيمو كوثر بغيت نتفرج فيهم,"['ختي', 'قولي', 'ليا', 'الا', 'كتعرفي', 'وحدين', 'اخرين', 'سيمو', 'كوثر', 'بغيت', 'نتفرج', 'فيهم']"
28136,ecc1dlss25 اللعبه تاع المافيا المغربيه كتبها غاتطلع,neutre,ecc1dlss25 اللعبه تاع المافيا المغربيه كتبها غاتطلع,"['ecc1dlss25', 'اللعبه', 'تاع', 'المافيا', 'المغربيه', 'كتبها', 'غاتطلع']"
28137,reda elouahabi,neutre,reda elouahabi,"['reda', 'elouahabi']"
28138,رضا الوهاب كونسيبت المافيا حت زوين,positif,رضا الوهاب كونسيبت المافيا حت زوين,"['رضا', 'الوهاب', 'كونسيبت', 'المافيا', 'حت', 'زوين']"
28139,1811 logique mat hhhh,positif,1811 logique mat hhhh,"['1811', 'logique', 'mat', 'hhhh']"
28140,saraha ezzoubair ystahlch dik no9ta ystahl 9al,négatif,saraha ezzoubair ystahlch dik no9ta ystahl 9al,"['saraha', 'ezzoubair', 'ystahlch', 'dik', 'no9ta', 'ystahl', '9al']"
28141,so easy to make fun of someones physique,négatif,so easy to make fun of someones physique,"['so', 'easy', 'to', 'make', 'fun', 'of', 'someones', 'physique']"
28142,زبير كسول لكيفيق حتي صباح وينقل,négatif,زبير كسول لكيفيق حتي صباح وينقل,"['زبير', 'كسول', 'لكيفيق', 'حتي', 'صباح', 'وينقل']"
28143,zoubir ma7tarmch concept mablanch kon collab 5m koun swbha,négatif,zoubir ma7tarmch concept mablanch kon collab 5m koun swbha,"['zoubir', 'ma7tarmch', 'concept', 'mablanch', 'kon', 'collab', '5m', 'koun', 'swbha']"
28144,كلشي علي تصويره باسو احسن لقطه,positif,كلشي علي تصويره باسو احسن لقطه,"['كلشي', 'علي', 'تصويره', 'باسو', 'احسن', 'لقطه']"
28145,sarah zoubir sr3o tues,positif,sarah zoubir sr3o tues,"['sarah', 'zoubir', 'sr3o', 'tues']"
28146,rime fikri hind benjbara saad lmjared,neutre,rime fikri hind benjbara saad lmjared,"['rime', 'fikri', 'hind', 'benjbara', 'saad', 'lmjared']"
28147,squeezie plagiat,négatif,squeezie plagiat,"['squeezie', 'plagiat']"
28148,كعرفتش بقا فيا زوبيير بزاااف حسيت بيه,négatif,كعرفتش بقا فيا زوبيير بزاااف حسيت بيه,"['كعرفتش', 'بقا', 'فيا', 'زوبيير', 'بزاااف', 'حسيت', 'بيه']"
28149,maymknx zoubir,positif,maymknx zoubir,"['maymknx', 'zoubir']"
28150,ياربي مت الضحك، تبارك الله عليكم,positif,ياربي مت الضحك، تبارك الله عليكم,"['ياربي', 'مت', 'الضحك،', 'تبارك', 'الله', 'عليكم']"
28151,الزبير باسو قرا الفلسفه للدراري الصغار فولاد علي,neutre,الزبير باسو قرا الفلسفه للدراري الصغار فولاد علي,"['الزبير', 'باسو', 'قرا', 'الفلسفه', 'للدراري', 'الصغار', 'فولاد', 'علي']"
28152,naaaaaadiiiii ollaaaah,positif,naaaaaadiiiii ollaaaah,"['naaaaaadiiiii', 'ollaaaah']"
28153,dreb w9eyess,neutre,dreb w9eyess,"['dreb', 'w9eyess']"
28154,ناري متتتتتت بضحك,positif,ناري متتتتتت بضحك,"['ناري', 'متتتتتت', 'بضحك']"
28155,concept wa3r franchement bravo,positif,concept wa3r franchement bravo,"['concept', 'wa3r', 'franchement', 'bravo']"
28156,زلق وتخشاا فيييه لقطه هربااانه,positif,زلق وتخشاا فيييه لقطه هربااانه,"['زلق', 'وتخشاا', 'فيييه', 'لقطه', 'هربااانه']"
28157,برافو عليكم شحال ماضحكت كيف اليوم,positif,برافو عليكم شحال ماضحكت كيف اليوم,"['برافو', 'عليكم', 'شحال', 'ماضحكت', 'كيف', 'اليوم']"
28158,تبارك الله عليكم يوتيوب ليام شاخد تبارك الله,positif,تبارك الله عليكم يوتيوب ليام شاخد تبارك الله,"['تبارك', 'الله', 'عليكم', 'يوتيوب', 'ليام', 'شاخد', 'تبارك', 'الله']"
28159,wa3r bjeeehd,positif,wa3r bjeeehd,"['wa3r', 'bjeeehd']"
28160,استاذ قريتها شكل,neutre,استاذ قريتها شكل,"['استاذ', 'قريتها', 'شكل']"
28161,kolchi yacine,neutre,kolchi yacine,"['kolchi', 'yacine']"
